playerID,teams
aardsda01,"['SFN', 'CHN', 'CHA', 'BOS', 'SEA', 'NYA', 'NYN', 'ATL']"
aaronha01,"['ML1', 'ATL', 'ML4']"
aaronto01,"['ML1', 'ATL']"
aasedo01,"['BOS', 'CAL', 'BAL', 'NYN', 'LAN']"
abadan01,"['OAK', 'BOS', 'CIN']"
abadfe01,"['HOU', 'WAS', 'OAK', 'MIN', 'BOS', 'SFN', 'BAL']"
abadijo01,"['PH3', 'BR2']"
abbated01,"['PHI', 'BSN', 'PIT']"
abbeybe01,"['WAS', 'CHN', 'BRO']"
abbeych01,['WAS']
abbotco01,"['CHN', 'WAS']"
abbotda01,['TL2']
abbotfr01,"['CLE', 'PHI']"
abbotgl01,"['OAK', 'SEA', 'DET']"
abbotje01,"['CHA', 'FLO']"
abbotji01,"['CAL', 'NYA', 'CHA', 'MIL']"
abbotku01,"['OAK', 'FLO', 'COL', 'NYN', 'ATL']"
abbotky01,"['CAL', 'PHI']"
abbotod01,['SLN']
abbotpa01,"['MIN', 'CLE', 'SEA', 'KCA', 'TBA', 'PHI']"
aberal01,"['CLE', 'DET', 'KC1']"
abercda01,['TRO']
abercre01,"['FLO', 'HOU']"
abernbi01,['CLE']
abernbr01,"['TBA', 'KCA', 'MIN']"
abernte01,['PHA']
abernte02,"['WS1', 'CLE', 'CHN', 'ATL', 'CIN', 'SLN', 'KCA']"
abernwo01,['NY1']
aberscl01,['CHN']
ablesha01,"['SLA', 'CLE', 'NYA']"
abnersh01,"['SDN', 'CAL', 'CHA']"
abramca01,"['BRO', 'CIN', 'PIT', 'BAL', 'CHA']"
abramcj01,"['SDN', 'WAS']"
abramge01,['CIN']
abregjo01,['CHN']
abreual01,"['NYA', 'TEX', 'KCA']"
abreubo01,"['HOU', 'PHI', 'NYA', 'LAA', 'LAN', 'NYN']"
abreubr01,['HOU']
abreujo01,['CIN']
abreujo02,['CHA']
abreuju01,['HOU']
abreuto01,"['LAN', 'ARI', 'KCA', 'SFN']"
abreuwi01,"['BAL', 'WAS', 'TBA', 'CLE']"
abstebi01,"['PIT', 'SLA']"
accarje01,"['SFN', 'TOR', 'BAL', 'CLE', 'OAK']"
aceveal01,"['NYA', 'BOS']"
acevedo01,['OAK']
acevejo01,"['CIN', 'COL']"
aceveju01,"['COL', 'NYN', 'SLN', 'MIL', 'FLO', 'DET', 'NYA', 'TOR']"
achteaj01,"['MIN', 'LAA']"
ackerji01,"['TOR', 'ATL', 'SEA']"
ackerto01,['CIN']
ackledu01,"['SEA', 'NYA']"
acklefr01,['CHA']
acostcy01,"['CHA', 'PHI']"
acosted01,"['PIT', 'SDN']"
acostjo01,"['WS1', 'CHA']"
acostma01,"['ATL', 'NYN']"
acostme01,"['WS1', 'PHA']"
acrema01,['OAK']
acunaro01,['ATL']
adairje01,"['BAL', 'CHA', 'BOS', 'KCA']"
adairji01,['CHN']
adamecr01,"['COL', 'SFN']"
adamewi01,"['TBA', 'MIL']"
adamja01,"['KCA', 'TOR', 'CHN', 'TBA']"
adamsac01,['NY1']
adamsau01,"['CLE', 'MIN', 'DET']"
adamsau02,"['WAS', 'SEA', 'SDN']"
adamsba01,"['SLN', 'PIT']"
adamsbe01,"['CLE', 'PHI']"
adamsbo01,['BOS']
adamsbo02,['PHI']
adamsbo03,"['CIN', 'CHA', 'BAL', 'CHN']"
adamsbo04,['DET']
adamsbu01,"['SLN', 'PHI']"
adamsch01,"['NYA', 'KCA']"
adamsda01,['KCF']
adamsda02,['NYA']
adamsdi01,['PHA']
